Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre04.g227251_4532,0.28,0.41,0.64,0.39,0.22,0.2,0.66,0.4,0.34
Cre04.g227350_4532,1.46,3.06,1.83,7.93,13.96,8.18,6.03,3.21,6.2
Cre04.g227400_4532,0.09,0.1,0.08,0.08,0.24,0.28,0.91,0.06,0.14
Cre04.g227450_4532,2.46,2.88,2.31,7.22,7.46,4.93,3.44,1.26,2.51
Cre04.g227500_4532,0.25,0.28,0.47,0.4,0.24,0.27,0.82,0.58,0.49
Cre04.g227550_4532,0.41,0.5,2.04,0.4,0.15,0.48,0.42,1.31,0.3
Cre04.g227568_4532,2.35,1.99,3.32,2.99,0.81,1.78,0.78,1.77,1.65
Cre04.g227600_4532,0.03,0.06,0.03,0.42,0.33,0.21,0.09,0.2,0.74
Cre04.g227650_4532,0.24,0.39,0.31,0.29,0.26,0.33,0.55,0.67,0.47
Cre04.g227700_4532,0.32,0.46,0,1.92,4.38,2.67,0.29,1.87,2.24
Cre04.g227750_4532,0,0,0.06,0.2,0.18,0.14,0.27,0.18,0.31
Cre04.g227800_4532,0,0,0,0.12,0.05,0.13,0.06,0.12,0.04
Cre04.g227850_4532,1.49,1.71,0.78,4.49,6.26,5.05,3.11,1.47,2.99
Cre04.g227900_4532,3.16,3.3,3.92,8.4,13,10.11,13.71,5.24,6.96
Cre04.g227950_4532,0,0.04,0,0.12,0.08,0.08,0.72,0.25,0.19
Cre04.g228000_4532,0.5,0.91,0.75,1.77,0.72,0.75,1.7,1.67,2.83
Cre04.g228050_4532,1.11,1.54,4.01,0.52,0.79,0.74,0.17,3.19,2.97
Cre04.g228100_4532,0.51,0.8,1.8,0.61,0.23,0,0.6,0.14,0.22
Cre04.g228150_4532,0.32,0.86,0.21,0.16,0.12,0.18,0.92,0.14,0.11
Cre04.g228300_4532,0.34,0.78,0.25,0.8,0.58,0.72,0.78,0.8,1.17
Cre04.g228350_4532,0.24,0.26,0.21,0.63,1.09,1.6,0.92,1.67,1.82
Cre04.g228400_4532,11.8,10.76,4.48,16.49,27.48,24.08,34.52,7.59,12.31
Cre04.g228450_4532,16.51,9.37,32.97,5.46,8.71,7.05,4.5,19.56,20
Cre04.g228500_4532,1.68,2.4,1.34,2.51,5.03,4.34,4.07,2.87,4.24
Cre04.g228550_4532,3.12,4.22,1.83,8.51,5.86,8.26,9.11,7.35,10.96
Cre04.g228600_4532,0.18,0.19,1.42,0.22,0.05,0.2,0.05,1.01,0.28
Cre04.g228650_4532,0.13,0.16,0.22,0,0.08,0.04,0.02,0.32,0.13
Cre04.g228675_4532,0,0,0.01,0.06,0.25,0.1,0.03,0.15,0.11
Cre04.g228700_4532,0,0,0,0.13,0,0,0.04,1.18,0.25
Cre04.g228750_4532,3.75,5.16,2.54,16.67,9.55,8.08,6.57,3.28,5.38
Cre04.g228800_4532,1.56,1.69,3.06,1.08,0.37,0.91,2.25,3.56,2.24
Cre04.g228850_4532,0.1,0.3,0.51,1.62,0.36,0.92,3.14,2.21,1.72
Cre04.g228900_4532,0.99,1.12,0.74,1.99,3.44,2.87,1.48,4.04,4.25
Cre04.g228925_4532,0.51,0.24,2.67,8.35,2.97,5.46,2.49,3.79,2.33
Cre04.g228950_4532,21.17,20.27,17.89,0.6,1.22,1,0.23,0.31,0.35
Cre04.g229000_4532,1.69,2.6,1.11,3.28,3.24,2.59,2.6,2.82,2.81
Cre04.g229026_4532,0.93,0.84,0.28,4.99,4.75,4.17,2.77,1.79,3.58
Cre04.g229050_4532,0.88,1.44,0.46,2.78,1.68,2.69,1.8,2.03,3.06
Cre04.g229100_4532,0.11,0.17,0.34,0.34,1.08,1.57,0.62,1.12,1.32
Cre04.g229163_4532,0.9,1.55,1.11,1.25,0.45,1.12,2.05,2.91,3
Cre04.g229226_4532,2.8,1.89,1.7,3.1,2.13,2.46,3.15,1.85,2.65
Cre04.g229250_4532,0.4,0.63,0.28,3.44,1.92,2.28,1.04,0.84,1.06
Cre04.g229300_4532,543.07,496.98,556.73,719.35,388.05,467.11,607.59,363.35,361.73
Cre04.g229350_4532,2.61,3.02,1.82,4.45,6.57,4.55,1.02,3.67,4.3
Cre04.g229398_4532,0.05,0.07,0,0.66,0.4,0.64,1.48,0.29,0.68
Cre04.g229450_4532,0.48,0.59,0.39,2.4,2.93,2.52,1.04,1.08,1.3
Cre04.g229494_4532,0.95,0.5,1.66,3.39,0.75,2.57,1.97,3.22,2.63
Cre04.g229550_4532,1.95,3.03,2.29,1.75,0.74,1.8,1.25,2.08,2.81
Cre04.g229650_4532,1.29,1.2,1.03,5.5,2.52,2.5,1.02,1.43,0.94
Cre04.g229700_4532,10.46,10.58,42.58,85.29,71.36,89.11,17.44,44.35,34.22
Cre04.g229750_4532,0.49,0.7,0.32,3.3,3.68,2.45,1.08,0.7,1.15
Cre04.g229850_4532,0,0,0,0,0.08,0,0.16,0,0.08
Cre04.g229948_4532,0.99,1.06,0.43,0.52,2.24,2.01,7.56,1.13,1.82
Cre04.g230046_4532,0.12,0.39,0.04,1.12,0.29,0.66,0.24,0.04,0.2
Cre04.g230144_4532,5.68,4.31,4.51,83.87,61.72,71.58,17.65,4.97,8.66
Cre04.g230242_4532,4.04,4.85,2.02,67.89,127.53,51.97,12.6,2.95,6.92
Cre04.g230340_4532,0.61,0.38,1.3,1.36,0.95,1.7,2.99,2.35,2.13
Cre04.g230438_4532,1.37,2.03,0.85,3.12,2.74,2.84,9.67,1.44,4.14
Cre04.g230536_4532,0.93,1.3,2.89,0.97,0.26,1.1,7.47,4.68,4.31
Cre04.g230732_4532,0.18,0.31,0.23,1.31,4.42,3.9,8.43,1.57,2.22
Cre04.g230830_4532,0.83,0.27,0.79,1.12,1.07,1.41,2.39,1.55,1.43
Cre04.g230928_4532,0.66,0.63,1.95,0.81,0.19,0.95,1.78,1.89,1.47
Cre04.g231026_4532,9.44,10.3,9.04,22.89,5.59,8.74,22.78,7.81,15.11
Cre04.g231124_4532,11.16,8.44,21.59,21.4,12.32,19.91,17.69,29.57,25.56
Cre04.g231222_4532,13.3,11.39,17.24,36.2,7.06,8.47,103.07,9.34,12.29
Cre04.g231418_4532,5.32,6.95,2.18,16.17,31.36,24.34,12.81,5.6,13.35
Cre04.g231516_4532,1.57,1.89,4.17,9.11,8.52,6.38,3.3,4.17,4.56
Cre04.g231614_4532,0.38,0.24,1.13,1.1,0.13,0.79,1.3,2.47,1.34
Cre04.g231908_4532,0.07,0.15,0.03,0.59,0.12,0.37,0.33,0.42,0.98
Cre04.g232006_4532,0.48,0.55,0.28,0.94,0.64,0.7,2.3,0.97,1.27
Cre04.g232104_4532,11417.55,9658.71,13345.65,4291.22,3995.59,4912.74,6430.07,14160.56,8829.49
Cre04.g232202_4532,2.98,3.47,2.8,11.8,8.73,9.25,10.24,7.89,9.65
Cre04.g232402_4532,1.03,1.31,0.84,12.62,10.15,7.98,3.37,0.92,1.44
Cre04.g232502_4532,2.01,2.12,1.51,19.43,13.98,11.72,9.38,7.81,10.1
Cre04.g232602_4532,6.7,7.5,12.13,23.48,16.57,21.95,16.08,15.13,32.74
Cre04.g232702_4532,2.03,2.31,1.3,5.64,4.68,5.17,4.24,2.94,5.09
Cre04.g232802_4532,0.44,0.96,0.44,3.05,6.02,3.48,0.42,1.96,2.59
Cre04.g232902_4532,0.76,0.86,0.39,1.61,1.63,1.6,1.28,1.32,2.65
Cre04.g233003_4532,0.92,0.74,2.18,1.04,0.92,2.01,0.33,1.83,1.77
Cre04.g233102_4532,0.27,0.41,0.19,3.92,3.67,3.95,1.73,4.2,5.62
Cre04.g233202_4532,0.41,0.68,0.24,1.4,0.25,0.52,2.1,1.7,1.48
Cre04.g233302_4532,2.69,4.38,1.73,8.16,8.04,8.17,2.08,5.09,6.89
Cre04.g800425_4532,0.18,0.21,0.26,0.56,0.69,0.21,0.7,0.51,0.79
Cre04.g800426_4532,2.67,5.08,0.5,42.29,22.81,16.87,8.84,18.44,40.84
Cre04.g800427_4532,1.93,3.19,1.21,3.2,2.82,3.78,0.32,0.63,0.83
Cre04.g800428_4532,0.15,0.12,0.33,0.4,0.06,0.22,0.73,0.38,0.37
Cre04.g800429_4532,0,0,0,0,0,0.32,0,0,0
Cre04.g800431_4532,0.32,0.97,0.44,1.11,0.61,1.13,1.07,0.51,0.93
Cre04.g800432_4532,3.33,3.43,3.64,6.99,4.05,3.43,14.43,4.17,5.8
